,Script,Descrizione,tempo_completamento,tool_used
55,1,"Il codice pulisce le cartelle dai file che non sono stati utilzzati da tanto tempo. Viene pulito ricorsivamente tutto quello che non è stato modificato per un tempo ben predefinito. Quindi prima prova ad aprire la cartella, se non trova la cartella da errore. Poi controlla se il file non viene modificato da un bel po' di tempo, dopo aver controllato che non sia la root o la cartella sia vuota; se è stato modificato molto tempo fa allora viene cancellato. Si cicla su ogni file di una cartella, se è il file è una cartella viene richiamata la funzione ricorsivamente sui file della cartella ""interna"". Si rifà il controllo se il file non viene modificato da tanto tempo, in caso si cerca di eliminarlo, altrimenti si stampa un log di errore. ",5,True
56,1,"Delete old files (if last modification time is more than persistMinutes, which is not defined) in a given directory and its subdirectory (using a recursive algorithm).
The deletion of a directory is done only if non root (?) ",03:00:00,False
57,2,"Convert an array obtained fron asArray() (I don't know where this comes from) into a boolean array. Basically, if a value is greater than 0, it's True, else False. There's a switch case for the various numerical data types, though it seems not needed.",,False
58,3,"I didn't really get it, but it should be something about the creation of a file into a certain cache. Even with explanations, it's very difficult to get what this does",,True
59,4,"The method consumes certain string from command line, processing the variosu flags and options. The various options enable certain flags. I didn't get the role of this netcdfile object",,True
60,3,"Scopo: acquisizione di un oggetto FileCachable utilizzando la cache o la factory -> Input: Factory per aprire il file, haskey del file, location in caso di hashkey nulla, taglia del buffer e valore booleano per cancellazione del task -> Output: oggetto FileCachable -> si ricerca il file nella cache, se lo si trova si ritorna il file altrimenti si tenta di aprirlo tramite la factory. Se è prevista la cancellazione del task, il file è chiuso e non viene restituito. ",03:56:00,True
61,4,"Scopo: parsing di un comando -> Input: file, stringa di un comando, output e booleano per cancellare task -> Ouput: successo del parsing della stringa con salvataggio della posizione del file -> Il codice estrae i parametri da una stringa che rappresenta un comando",04:22:00,True
62,1,"Scopo: pulizia della cache -> Input: directory in cui eliminare i file, booleano per indicare se la directory è una radice  -> Output: non presente -> Se la directory è vuota e non è una radice, se non è stata modificata di recente viene cancellata. Se invece sono presenti dei file viene fatto lo stesso per ogni file",03:20:00,False
63,2,"Scopo: conversione di un array di numeri in un array di booleani -> Input: array di valori -> Output: array di booleani -> Identificazione tramite switch del tipo dei valori dell'array di input e creazione di un nuovo array in cui i valori in posizione i sono pari a True se il valore in posizione i nell'array di input è positivo, False altrimenti.",02:29:00,False
64,1,"Lo script contiene l'implementazione di un metodo per effettuare la pulizia della cache di una directory data in base all'ultima volta che è stata modificata. Si effettuano dei controlli preliminari sulla validità del percorso della cartella da rimuovere, se è una cartella root o contiene almeno un file. Nel caso in cui fosse una directory non root con almeno un file, calcola il tempo trascorso dall'ultima modifica nella cartella. Se il tempo trascorso supera un valore soglia, prova a rimuovere la cartella; in caso contrario, segnala l'errore di rimozione. Nel caso in cui la directory data è root, scansiona i file al suo interno: per una directory, richiama il metodo cleanCache; per un file regolare, calcola il tempo trascorso dall'ultima volta che è stato modificato il file. Se il tempo trascorso supera un valore soglia, prova a rimuovere il file; in caso contrario, dichiara l'errore di rimozione. ",00:03:39,True
65,3,"Si tratta dell'implementazione di un metodo per gestire la cancellazione, l'inserimento e/o la ricerca di un file in una cache. Si effettuano dei controlli preliminari sulla validità dell'hash key fornita per fare il recupero del file. Se il file è stato recuperato correttamente dalla cache, viene incrementato il numero di cache hint; in caso contrario viene incrementato il valore di cache miss. Se il file non viene trovato nella cache allora il file viene aperto e, se è richiesto, mostra il suo contenuto a schermo. Infine, se è richiesta la cancellazione del file, non si procede con l'acquisizione del file nella cache; altrimenti, aggiunge il file alla cache.",00:05:48,True
66,2,"È un metodo che, preso in input un array di interi o di float, genera un array booleano dove l'i-esimo elemento dell'array booleano è: True se l'i-esimo elemnto dell'array di interi/float è un numero positivo; altrimenti, False.",00:03:52,False
67,4,"Il metodo richiede in input una stringa e verifica se corrisponde ad uno dei comandi noti (es. -help, -c, -vall, ...). Nel caso del comando -help, viene visualizzato un messaggio di guida per l'utilizzo. Nel caso di comandi '""-ncml"", ""-cdl"", ""-strict"" imposta dei flag atti a confermare la presenza del comando. Nel caso del comando ""-datasetname"", viene recuperato il dataset richiesto tramite pathname con la funzione getLocation(). Infine, viene eseguita una funzione che si occupa di stampare il comando immesso, gli eventuali parametri dei comandi.",00:04:23,False
68,2,"Abbiamo una funzione che restituisce un booleano. Una volta inizializzato UBAarry c'è uno switch che va ad testare su ongi caso che possono essere, int8, int16, int32, int64, float32 e 64. In ogni case va ad iterare sulla lunghezza dell'arry e una volta fatto ciò va a convertire se il valore è maggiore di 0.",04:04:00,True
69,4,Abbiamo una funzione che si occupa di instanziare un tokenizer che serve per le stringhe in Java e c'è un semplice while dove finchè c'è ancora qualcosa da leggere prende tutto quello che legge e in base a quello che trova se entra in un if mette quello che trova a true. Fatto ciò va a chiamare la funzione print che si occupa di stamapre tutto quello necessario.,01:48:00,True
70,1,Abbiamo una funzione che si occupa di eliminare dei file. Il primo if controlla se ci sono file se non ci sono lancia un exception. Nel secondo if credo che quell isRoot controlli se si hanno i permessi e se con i minuti corrispondono ma sopratutto se sono stati eliminati tutti i file. Se è tutto ok allora elimina la cartella altrimenti si possono anadare in if in caso di errore e non eliminare. Abbiamo un for principale che si occupa di chiamare la funzione e svolgere il tutto.,02:32:00,False
71,3, Questa funzione si occupa di acquisire file. Nel primo if prende solo file che possono solo essere cachati se non è diverso da null allora va bene. Andando avanti nel file java scrive delle cose sul file una volta fatto questo lo aggiunge alla cache e restituisce il file.,04:14:00,False
